FINANCIAL_YEAR,COMPANY,BTERMSTEMPLATES,BILL_NO.,BILL_DATE,MONTH,YEAR,SRLNO,accd,CONTROL_ACCOUNT,CUSTOMER,COUNTRY,STATE,CITY,CONSIGNEE,itemcd,ITEM,QUANTITY,RATE,VALUE,LOCATIONNAME,personcd,SALESMAN,MAIN_GROUP,SUB_GROUP,ITEM_GROUP,locationcode
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00695/20-21,20-Jun-20,June,2020,1,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),4981,SURFOLIN 381 US : 30 KGS BAG,720,130,93600,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01197/20-21,7-Jul-20,July,2020,1,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),39994,KEMPAS BZ 271 AU : 30 LTR CARBOYS,60,378,22680,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02709/20-21,25-Aug-20,August,2020,3,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),5142,SURFOLIN NC 924 U : 30 KGS BAG,600,99.02,59412,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02710/20-21,25-Aug-20,August,2020,3,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),37469,KEMPAS TRT 1700 CM U : 30 LTR CARBOYS,300,288,86400,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/03242/20-21,8-Sep-20,September,2020,4,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,40879,ALUDINE BLUE VIOLET 2BW : 1 KGS BOTTLE,2,2625,5250,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING DYES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00332/20-21,5-Jun-20,June,2020,3,20850,SUNDRY DEBTORS - DOMESTIC,PATTON INTERNATIONAL LIMITED (SUP-A147),INDIA,WEST BENGAL,SOUTH 24 PARGANAS,PATTON INTERNATIONAL LIMITED (SUP-A147),49431,TEKNOBRITE AZ 3048 R (PT) : 100 LTR DRUM,700,73,51100,ARTEK EXPORTS - TARAPUR,299,CALCUTTA - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00332/20-21,5-Jun-20,June,2020,4,20850,SUNDRY DEBTORS - DOMESTIC,PATTON INTERNATIONAL LIMITED (SUP-A147),INDIA,WEST BENGAL,SOUTH 24 PARGANAS,PATTON INTERNATIONAL LIMITED (SUP-A147),45188,SURFOLIN EL 80 (PT) : 30 KGS BAG,2700,50,135000,ARTEK EXPORTS - TARAPUR,299,CALCUTTA - AREA ,FINISHED GOODS,CLEANERS,CLEANERS ELECTROLYTIC,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00523/20-21,13-Jun-20,June,2020,1,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),4981,SURFOLIN 381 US : 30 KGS BAG,600,124,74400,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00524/20-21,13-Jun-20,June,2020,3,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),37469,KEMPAS TRT 1700 CM U : 30 LTR CARBOYS,300,288,86400,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01453/20-21,14-Jul-20,July,2020,4,20850,SUNDRY DEBTORS - DOMESTIC,PATTON INTERNATIONAL LIMITED (SUP-A147),INDIA,WEST BENGAL,SOUTH 24 PARGANAS,PATTON INTERNATIONAL LIMITED (SUP-A147),45455,TEKNOBRITE AZ 3048 R (PT) : 30 LTR CARBOYS,1020,73,74460,ARTEK EXPORTS - TARAPUR,299,CALCUTTA - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
